class,missed_branch, covered_branch, total_branch  
org.jfree.chart.panel.CrosshairOverlay,145,5,150
org.jfree.chart.renderer.category.StandardBarPainter,31,3,34
org.jfree.chart.ui.FontChooserPanel,20,0,20
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,54,14,68
org.jfree.chart.entity.CategoryItemEntity,5,5,10
org.jfree.chart.util.BooleanList,1,1,2
org.jfree.data.DataUtils,12,36,48
org.jfree.chart.annotations.TextAnnotation,2,14,16
org.jfree.chart.util.AbstractObjectList,6,28,34
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,1,5,6
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,59,77,136
org.jfree.chart.needle.LineNeedle,6,2,8
org.jfree.data.xy.Vector,2,6,8
org.jfree.data.general.DefaultPieDataset,9,13,22
org.jfree.chart.entity.CategoryLabelEntity,2,4,6
org.jfree.data.statistics.MeanAndStandardDeviation,3,9,12
org.jfree.chart.plot.DefaultDrawingSupplier,6,50,56
org.jfree.chart.plot.PieLabelDistributor,13,21,34
org.jfree.data.category.DefaultIntervalCategoryDataset,46,74,120
org.jfree.chart.annotations.XYTitleAnnotation,23,21,44
org.jfree.data.xy.XIntervalSeriesCollection,7,9,16
org.jfree.data.general.DefaultHeatMapDataset,12,30,42
org.jfree.data.ComparableObjectItem,3,9,12
org.jfree.data.xy.XYSeries,23,101,124
org.jfree.data.time.ohlc.OHLCSeriesCollection,10,16,26
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,7,15,22
org.jfree.chart.axis.TickUnit,5,11,16
org.jfree.data.KeyedValueComparatorType,6,0,6
org.jfree.data.gantt.TaskSeriesCollection,11,49,60
org.jfree.chart.util.PaintAlpha,38,0,38
org.jfree.chart.annotations.CategoryPointerAnnotation,4,20,24
org.jfree.data.time.ohlc.OHLC,2,10,12
org.jfree.chart.util.StrokeList,9,5,14
org.jfree.chart.util.ArrayUtils,41,17,58
org.jfree.chart.plot.CategoryMarker,3,7,10
org.jfree.data.xy.MatrixSeriesCollection,18,4,22
org.jfree.chart.plot.XYPlot,328,538,866
org.jfree.chart.block.AbstractBlock,4,30,34
org.jfree.chart.annotations.AbstractXYAnnotation,11,5,16
org.jfree.data.xy.MatrixSeries,2,16,18
org.jfree.chart.title.ImageTitle,36,0,36
org.jfree.chart.ChartFactory,150,52,202
org.jfree.data.xml.RootHandler,8,0,8
org.jfree.chart.encoders.ImageEncoderFactory,2,0,2
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,10,2,12
org.jfree.data.time.TimeSeriesDataItem,4,10,14
org.jfree.chart.annotations.XYLineAnnotation,14,14,28
org.jfree.chart.ui.Align,12,0,12
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,22,14,36
org.jfree.chart.plot.SpiderWebPlot,43,101,144
org.jfree.data.xy.XYBarDataset,8,6,14
org.jfree.chart.plot.ThermometerPlot,118,74,192
org.jfree.chart.util.DefaultShadowGenerator,22,8,30
org.jfree.data.time.Hour,14,14,28
org.jfree.chart.axis.PeriodAxisLabelInfo,1,19,20
org.jfree.chart.title.PaintScaleLegend,68,24,92
org.jfree.data.xy.XYDatasetTableModel,14,0,14
org.jfree.chart.labels.AbstractXYItemLabelGenerator,10,22,32
org.jfree.chart.ui.LengthAdjustmentType,3,9,12
org.jfree.chart.axis.SubCategoryAxis,34,20,54
org.jfree.chart.axis.NumberTickUnit,2,8,10
org.jfree.chart.util.CloneUtils,4,4,8
org.jfree.chart.title.TextTitle,94,56,150
org.jfree.data.time.ohlc.OHLCItem,4,4,8
org.jfree.chart.editor.DefaultPolarPlotEditor,12,0,12
org.jfree.chart.renderer.RendererUtils,6,56,62
org.jfree.data.statistics.Statistics,25,43,68
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,10,0,10
org.jfree.data.xml.ItemHandler,8,0,8
org.jfree.chart.axis.CyclicNumberAxis,191,15,206
org.jfree.chart.text.TextBlockAnchor,8,16,24
org.jfree.chart.needle.MiddlePinNeedle,10,4,14
org.jfree.data.general.HeatMapUtils,8,0,8
org.jfree.chart.renderer.category.LevelRenderer,25,23,48
org.jfree.chart.entity.AxisEntity,12,0,12
org.jfree.chart.renderer.xy.XYDotRenderer,18,16,34
org.jfree.chart.labels.AbstractPieItemLabelGenerator,4,18,22
org.jfree.data.xml.PieDatasetHandler,8,0,8
org.jfree.chart.text.TextBox,30,16,46
org.jfree.chart.plot.WaferMapPlot,44,0,44
org.jfree.chart.plot.PolarAxisLocation,3,19,22
org.jfree.chart.needle.WindNeedle,8,4,12
org.jfree.chart.renderer.OutlierListCollection,8,0,8
org.jfree.chart.ui.StandardGradientPaintTransformer,10,8,18
org.jfree.chart.axis.MarkerAxisBand,9,13,22
org.jfree.chart.axis.CategoryAxis,70,116,186
org.jfree.data.xy.AbstractIntervalXYDataset,2,6,8
org.jfree.chart.renderer.RendererState,0,4,4
org.jfree.data.xy.OHLCDataItem,6,10,16
org.jfree.chart.entity.StandardEntityCollection,6,4,10
org.jfree.data.statistics.BoxAndWhiskerCalculator,12,22,34
org.jfree.data.function.NormalDistributionFunction2D,3,5,8
org.jfree.chart.ui.RectangleEdge,17,21,38
org.jfree.chart.axis.LogarithmicAxis,229,25,254
org.jfree.chart.plot.CompassPlot,69,36,105
org.jfree.chart.axis.DateAxis$DefaultTimeline,3,3,6
org.jfree.data.xy.YIntervalSeriesCollection,6,10,16
org.jfree.data.xy.AbstractXYDataset,1,3,4
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,1,5,6
org.jfree.chart.axis.DateAxis,87,131,218
org.jfree.chart.annotations.XYPointerAnnotation,12,18,30
org.jfree.chart.plot.dial.DialValueIndicator,11,29,40
org.jfree.chart.plot.CategoryPlot,229,463,692
org.jfree.chart.ChartUtils,8,0,8
org.jfree.chart.plot.dial.DialBackground,2,8,10
org.jfree.chart.editor.DefaultAxisEditor,22,0,22
org.jfree.data.json.impl.JSONValue,81,0,81
org.jfree.chart.plot.PiePlot,126,218,344
org.jfree.chart.editor.DefaultPlotEditor,100,0,100
org.jfree.chart.axis.DateTickUnitType,2,18,20
org.jfree.chart.renderer.xy.XYSplineRenderer,60,10,70
org.jfree.chart.annotations.XYPolygonAnnotation,21,13,34
org.jfree.data.xy.DefaultIntervalXYDataset,15,33,48
org.jfree.chart.renderer.category.LayeredBarRenderer,80,22,102
org.jfree.chart.entity.TitleEntity,12,0,12
org.jfree.chart.block.CenterArrangement,34,2,36
org.jfree.chart.axis.Tick,2,10,12
org.jfree.data.statistics.BoxAndWhiskerItem,10,14,24
org.jfree.chart.plot.dial.AbstractDialLayer,3,7,10
org.jfree.data.category.CategoryToPieDataset,23,35,58
org.jfree.chart.plot.CategoryCrosshairState,11,1,12
org.jfree.data.DefaultKeyedValues,10,34,44
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,18,24,42
org.jfree.chart.util.ShapeList,8,8,16
org.jfree.chart.labels.StandardXYItemLabelGenerator,1,3,4
org.jfree.data.function.PolynomialFunction2D,3,1,4
org.jfree.chart.ui.Size2D,8,0,8
org.jfree.chart.entity.JFreeChartEntity,12,0,12
org.jfree.data.time.TimePeriodValues,8,44,52
org.jfree.chart.annotations.XYDrawableAnnotation,8,14,22
org.jfree.chart.servlet.ServletUtilities,34,0,34
org.jfree.chart.urls.CustomXYURLGenerator,10,18,28
org.jfree.chart.axis.CategoryAnchor,5,7,12
org.jfree.data.time.DynamicTimeSeriesCollection$ValueSequence,2,0,2
org.jfree.data.xy.CategoryTableXYDataset,6,6,12
org.jfree.chart.renderer.xy.XYStepAreaRenderer,48,50,98
org.jfree.chart.renderer.category.GradientBarPainter,28,22,50
org.jfree.chart.entity.XYItemEntity,2,8,10
org.jfree.data.xy.YInterval,2,8,10
org.jfree.chart.axis.CategoryLabelPositions,6,14,20
org.jfree.chart.plot.DialShape,8,4,12
org.jfree.data.time.Quarter,16,18,34
org.jfree.data.xy.XYCoordinate,11,7,18
org.jfree.data.time.TimePeriodValue,11,9,20
org.jfree.chart.HashUtils,23,19,42
org.jfree.data.time.DynamicTimeSeriesCollection,92,0,92
org.jfree.chart.ui.StrokeSample,4,0,4
org.jfree.chart.plot.dial.ArcDialFrame,3,19,22
org.jfree.data.gantt.XYTaskDataset,15,9,24
org.jfree.chart.axis.AxisLabelLocation,5,7,12
org.jfree.chart.labels.StandardXYZToolTipGenerator,8,8,16
org.jfree.chart.axis.AxisSpace,26,22,48
org.jfree.chart.plot.PolarPlot,178,104,282
org.jfree.chart.plot.MeterInterval,6,8,14
org.jfree.data.ComparableObjectSeries,11,49,60
org.jfree.data.function.PowerFunction2D,2,4,6
org.jfree.data.xy.XYDataItem,5,13,18
org.jfree.data.general.DatasetGroup,3,3,6
org.jfree.data.DefaultKeyedValue,9,7,16
org.jfree.chart.editor.DefaultNumberAxisEditor,12,0,12
org.jfree.data.xy.XYIntervalDataItem,5,5,10
org.jfree.chart.renderer.LookupPaintScale$PaintItem,3,9,12
org.jfree.data.xy.VectorDataItem,3,1,4
org.jfree.chart.editor.DefaultValueAxisEditor,32,0,32
org.jfree.data.RangeType,5,7,12
org.jfree.chart.renderer.xy.XYBlockRenderer,32,24,56
org.jfree.data.time.Month,17,35,52
org.jfree.chart.renderer.category.CategoryStepRenderer,32,10,42
org.jfree.chart.ui.HorizontalAlignment,3,9,12
org.jfree.chart.renderer.LookupPaintScale,4,30,34
org.jfree.data.general.WaferMapDataset,20,0,20
org.jfree.chart.renderer.category.ScatterRenderer,47,15,62
org.jfree.data.xy.YWithXInterval,2,8,10
org.jfree.chart.urls.CustomCategoryURLGenerator,10,18,28
org.jfree.chart.block.LabelBlock,11,17,28
org.jfree.chart.plot.PlotOrientation,2,8,10
org.jfree.chart.axis.NumberAxis,43,105,148
org.jfree.chart.annotations.XYTextAnnotation,6,32,38
org.jfree.chart.renderer.category.AreaRenderer,39,11,50
org.jfree.chart.axis.SymbolAxis,93,11,104
org.jfree.chart.util.ObjectUtils,4,14,18
org.jfree.chart.axis.ValueTick,3,5,8
org.jfree.chart.JFreeChart,73,103,176
org.jfree.chart.renderer.xy.XYBarRenderer,173,37,210
org.jfree.chart.util.PaintUtils,58,20,78
org.jfree.chart.title.LegendTitle,20,42,62
org.jfree.chart.ChartRenderingInfo,4,12,16
org.jfree.data.xml.CategoryDatasetHandler,8,0,8
org.jfree.chart.renderer.xy.DeviationRenderer,32,6,38
org.jfree.data.statistics.SimpleHistogramDataset,13,17,30
org.jfree.chart.ui.UIUtils,6,0,6
org.jfree.data.time.SimpleTimePeriod,4,18,22
org.jfree.chart.plot.dial.DialPointer$Pin,2,6,8
org.jfree.data.xy.XYIntervalSeriesCollection,7,11,18
org.jfree.chart.ui.StrokeChooserPanel,2,0,2
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,53,13,66
org.jfree.data.time.MovingAverage,39,15,54
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,73,77,150
org.jfree.data.xy.XYInterval,2,12,14
org.jfree.chart.entity.PlotEntity,12,0,12
org.jfree.data.xy.DefaultXYZDataset,11,27,38
org.jfree.data.KeyedObjects,20,24,44
org.jfree.chart.block.ColumnArrangement,50,12,62
org.jfree.chart.renderer.xy.StackedXYBarRenderer,78,8,86
org.jfree.data.general.AbstractDataset,4,4,8
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,11,3,14
org.jfree.chart.date.SpreadsheetDate,42,22,64
org.jfree.data.KeyedValues2DItemKey,10,0,10
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,121,91,212
org.jfree.chart.plot.dial.DialTextAnnotation,4,14,18
org.jfree.chart.labels.IntervalXYItemLabelGenerator,29,3,32
org.jfree.chart.axis.PeriodAxis,113,25,138
org.jfree.chart.needle.ArrowNeedle,12,6,18
org.jfree.data.function.LineFunction2D,2,4,6
org.jfree.chart.renderer.category.StatisticalBarRenderer,63,41,104
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,0,4,4
org.jfree.data.xy.XYItemKey,10,0,10
org.jfree.chart.renderer.xy.YIntervalRenderer,18,4,22
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,36,54,90
org.jfree.data.category.SlidingCategoryDataset,7,23,30
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,10,10,20
org.jfree.data.KeyedValuesItemKey,6,0,6
org.jfree.chart.urls.StandardXYURLGenerator,8,6,14
org.jfree.chart.renderer.WaferMapRenderer,56,0,56
org.jfree.data.statistics.HistogramDataset,13,33,46
org.jfree.chart.plot.MeterPlot,49,93,142
org.jfree.chart.labels.CustomXYToolTipGenerator,14,14,28
org.jfree.chart.ui.TextAnchor,38,58,96
org.jfree.chart.renderer.category.MinMaxCategoryRenderer$2,2,2,4
org.jfree.chart.plot.CombinedRangeXYPlot,59,43,102
org.jfree.data.KeyToGroupMap,9,33,42
org.jfree.chart.renderer.category.MinMaxCategoryRenderer$1,4,0,4
org.jfree.chart.axis.AxisLocation,11,11,22
org.jfree.chart.ui.RectangleAnchor,23,13,36
org.jfree.chart.util.StringUtils,4,0,4
org.jfree.data.xml.KeyHandler,6,0,6
org.jfree.chart.block.LengthConstraintType,12,0,12
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,22,26,48
org.jfree.data.Range,8,64,72
org.jfree.chart.util.LogFormat,7,11,18
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,6,2,8
org.jfree.chart.plot.CombinedDomainCategoryPlot,49,47,96
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,21,91,112
org.jfree.chart.editor.DefaultTitleEditor,22,0,22
org.jfree.data.time.Year,5,13,18
org.jfree.chart.panel.AbstractOverlay,3,1,4
org.jfree.chart.axis.CategoryLabelPosition,2,14,16
org.jfree.chart.text.TextLine,12,16,28
org.jfree.chart.ChartFrame,2,0,2
org.jfree.chart.date.SerialDate,47,20,67
org.jfree.data.xy.XIntervalDataItem,3,3,6
org.jfree.data.time.TimePeriodValuesCollection,19,19,38
org.jfree.chart.PaintMap,0,14,14
org.jfree.chart.renderer.xy.XYBubbleRenderer,35,12,47
org.jfree.chart.plot.Crosshair,1,33,34
org.jfree.chart.axis.DateTickUnit,8,22,30
org.jfree.chart.annotations.XYBoxAnnotation,12,18,30
org.jfree.chart.axis.ModuloAxis,38,8,46
org.jfree.chart.plot.dial.DialCap,2,12,14
org.jfree.chart.needle.PinNeedle,9,3,12
org.jfree.chart.entity.ChartEntity,32,8,40
org.jfree.data.jdbc.JDBCCategoryDataset,24,0,24
org.jfree.chart.util.LineUtils,18,22,40
org.jfree.chart.renderer.GrayPaintScale,3,13,16
org.jfree.data.KeyedObject,2,8,10
org.jfree.chart.servlet.DisplayChart,20,0,20
org.jfree.chart.axis.TickType,4,6,10
org.jfree.data.category.DefaultCategoryDataset,1,19,20
org.jfree.data.time.Week,44,18,62
org.jfree.chart.entity.PieSectionEntity,2,10,12
org.jfree.chart.block.GridArrangement,15,59,74
org.jfree.chart.axis.CompassFormat,4,0,4
org.jfree.data.general.Series,7,13,20
org.jfree.chart.ui.LCBLayout,40,0,40
org.jfree.data.xy.XYSeriesCollection,20,70,90
org.jfree.chart.ui.VerticalAlignment,4,8,12
org.jfree.chart.axis.MonthDateFormat,5,13,18
org.jfree.chart.axis.StandardTickUnitSource,1,1,2
org.jfree.chart.util.Args,1,5,6
org.jfree.chart.labels.HighLowItemLabelGenerator,18,10,28
org.jfree.chart.urls.StandardCategoryURLGenerator,9,11,20
org.jfree.chart.plot.IntervalMarker,2,10,12
org.jfree.data.xy.IntervalXYDelegate,11,31,42
org.jfree.chart.StrokeMap,0,14,14
org.jfree.chart.util.SerialUtils,29,79,108
org.jfree.chart.renderer.xy.StandardXYBarPainter,31,3,34
org.jfree.data.KeyedObjects2D,12,58,70
org.jfree.chart.annotations.CategoryLineAnnotation,6,14,20
org.jfree.chart.util.ResourceBundleWrapper,7,1,8
org.jfree.data.time.TimeSeriesTableModel,32,0,32
org.jfree.chart.entity.LegendItemEntity,3,7,10
org.jfree.chart.axis.LogAxis,81,45,126
org.jfree.chart.axis.CategoryLabelWidthType,2,8,10
